posting_date,Item No_,Size,Color,Opening Inventory,Closing Inventory,Quantity,Sales,NetQuantity
2017-01-18,1070079,S,51.0,185.0,185.0,0.0,1.0,1.0
2017-01-18,1070079,XL,51.0,234.0,232.0,-2.0,3.0,1.0
2017-01-18,1070079,XXL,51.0,196.0,195.0,-1.0,2.0,1.0
2017-01-18,1070081,S,52.0,103.0,103.0,0.0,1.0,1.0
2017-01-18,1070082,S,1.0,235.0,233.0,-2.0,3.0,1.0
2017-01-18,1070083,M,50.0,160.0,160.0,0.0,1.0,1.0
2017-01-18,1070156,M,2.0,288.0,287.0,-1.0,2.0,1.0
2017-01-18,1070199,S,51.0,177.0,175.0,-2.0,3.0,1.0
2017-01-18,1070205,M,13.0,-15.0,-17.0,-2.0,3.0,1.0
2017-01-18,1070211,M,10.0,433.0,432.0,-1.0,2.0,1.0
2017-01-18,1070212,M,10.0,314.0,311.0,-3.0,4.0,1.0
2017-01-18,1070212,S,10.0,205.0,205.0,0.0,2.0,2.0
2017-01-18,1070550,M,41.0,482.0,478.0,-4.0,5.0,1.0
2017-01-18,1070550,S,41.0,243.0,241.0,-2.0,3.0,1.0
2017-01-18,1070552,S,13.0,372.0,371.0,-1.0,3.0,2.0
2017-01-18,1071121,S,54.0,-6.0,-18.0,-12.0,13.0,1.0
2017-01-20,1070077,L,52.0,-3.0,-10.0,-7.0,9.0,2.0
2017-01-20,1070077,S,52.0,-2.0,-5.0,-3.0,4.0,1.0
2017-01-20,1070077,XL,52.0,-3.0,-3.0,0.0,2.0,2.0
2017-01-20,1070077,XXL,52.0,-3.0,-4.0,-1.0,2.0,1.0
2017-01-20,1070079,L,51.0,317.0,317.0,0.0,1.0,1.0
2017-01-20,1070149,L,99.0,-8.0,-6.0,2.0,-1.0,1.0
2017-01-20,1070149,XL,99.0,-12.0,-15.0,-3.0,4.0,1.0
2017-01-20,1070156,L,2.0,434.0,435.0,1.0,1.0,2.0
2017-01-20,1070156,M,2.0,283.0,284.0,1.0,1.0,2.0
2017-01-20,1070156,XL,2.0,428.0,425.0,-3.0,5.0,2.0
2017-01-20,1070156,XXL,2.0,227.0,228.0,1.0,1.0,2.0
2017-01-20,1070203,S,14.0,-5.0,-14.0,-9.0,10.0,1.0
2017-01-20,1070537,XXL,83.0,-6.0,-8.0,-2.0,3.0,1.0
2017-01-22,1071594,S,52.0,-102.0,-102.0,0.0,1.0,1.0
2017-01-22,1072416,XL,10.0,-17.0,-17.0,0.0,1.0,1.0
2017-01-22,1072416,XXL,10.0,-6.0,-8.0,-2.0,1.0,-1.0
2017-01-23,1069409,M,15.0,28.0,26.0,-2.0,1.0,-1.0
2017-01-23,1070070,L,13.0,-45.0,-47.0,-2.0,1.0,-1.0
2017-01-23,1070070,M,13.0,-58.0,-61.0,-3.0,4.0,1.0
2017-01-23,1070553,S,18.0,391.0,387.0,-4.0,3.0,-1.0
2017-01-23,1070882,S,10.0,260.0,259.0,-1.0,0.0,-1.0
2017-01-23,1072139,M,52.0,-41.0,-46.0,-5.0,4.0,-1.0
2017-01-24,1070047,M,1.0,-1.0,-4.0,-3.0,2.0,-1.0
2017-01-24,1070211,XXL,10.0,100.0,98.0,-2.0,3.0,1.0
2017-01-24,1070538,M,13.0,-25.0,-28.0,-3.0,2.0,-1.0
2017-01-24,1070539,M,13.0,-49.0,-51.0,-2.0,3.0,1.0
2017-01-24,1071246,XS,51.0,0.0,-3.0,-3.0,2.0,-1.0
2017-01-24,1071594,L,52.0,-204.0,-216.0,-12.0,11.0,-1.0
2017-01-24,1071594,M,52.0,-247.0,-262.0,-15.0,12.0,-3.0
2017-01-24,1071594,S,52.0,-106.0,-116.0,-10.0,9.0,-1.0
2017-01-24,1071594,XL,52.0,-115.0,-126.0,-11.0,10.0,-1.0
2017-01-24,1071594,XS,52.0,-68.0,-77.0,-9.0,8.0,-1.0
2017-01-24,1072204,L,52.0,196.0,201.0,5.0,4.0,9.0
2017-01-24,1072204,M,52.0,252.0,257.0,5.0,3.0,8.0
2017-01-24,1072204,S,52.0,171.0,178.0,7.0,3.0,10.0
2017-01-24,1072204,XL,52.0,163.0,166.0,3.0,3.0,6.0
2017-01-24,1072204,XS,52.0,195.0,202.0,7.0,1.0,8.0
2017-01-24,1072422,S,10.0,-35.0,-38.0,-3.0,2.0,-1.0
2017-01-25,1070046,M,10.0,-72.0,-80.0,-8.0,9.0,1.0
2017-01-25,1070046,S,10.0,-39.0,-42.0,-3.0,4.0,1.0
2017-01-25,1070053,M,13.0,-47.0,-56.0,-9.0,10.0,1.0
2017-01-25,1070053,S,13.0,-29.0,-29.0,0.0,2.0,2.0
2017-01-25,1070055,S,1.0,228.0,226.0,-2.0,1.0,-1.0
2017-01-25,1070070,M,13.0,-63.0,-74.0,-11.0,12.0,1.0
2017-01-25,1070070,S,13.0,-47.0,-50.0,-3.0,5.0,2.0
2017-01-25,1070071,S,16.0,-29.0,-35.0,-6.0,7.0,1.0
2017-01-25,1070076,L,53.0,166.0,169.0,3.0,-1.0,2.0
2017-01-25,1070076,S,53.0,73.0,76.0,3.0,-1.0,2.0
2017-01-25,1070076,XL,53.0,119.0,120.0,1.0,0.0,1.0
2017-01-25,1070076,XXL,53.0,75.0,75.0,0.0,1.0,1.0
2017-01-25,1070078,M,53.0,203.0,201.0,-2.0,1.0,-1.0
2017-01-25,1070082,S,1.0,218.0,217.0,-1.0,2.0,1.0
2017-01-25,1070083,S,50.0,116.0,115.0,-1.0,2.0,1.0
2017-01-25,1070195,XS,14.0,189.0,186.0,-3.0,2.0,-1.0
2017-01-25,1070199,S,51.0,159.0,161.0,2.0,1.0,3.0
2017-01-25,1070200,S,52.0,82.0,83.0,1.0,1.0,2.0
2017-01-25,1070204,XS,10.0,-30.0,-39.0,-9.0,8.0,-1.0
2017-01-25,1070205,S,13.0,-32.0,-33.0,-1.0,2.0,1.0
2017-01-25,1070212,M,10.0,286.0,285.0,-1.0,3.0,2.0
2017-01-25,1070212,S,10.0,183.0,183.0,0.0,3.0,3.0
2017-01-25,1070214,M,10.0,117.0,117.0,0.0,1.0,1.0
2017-01-25,1070537,S,83.0,-26.0,-28.0,-2.0,3.0,1.0
2017-01-25,1070538,M,13.0,-28.0,-32.0,-4.0,5.0,1.0
2017-01-25,1070550,S,41.0,214.0,208.0,-6.0,7.0,1.0
2017-01-25,1070882,S,10.0,255.0,254.0,-1.0,2.0,1.0
2017-01-25,1071125,M,54.0,-24.0,-26.0,-2.0,3.0,1.0
2017-01-25,1071246,XS,51.0,-3.0,-13.0,-10.0,9.0,-1.0
2017-01-25,1072205,M,10.0,72.0,71.0,-1.0,3.0,2.0
2017-01-25,1072205,S,10.0,33.0,33.0,0.0,1.0,1.0
2017-01-25,1072417,M,10.0,-19.0,-20.0,-1.0,2.0,1.0
2017-01-25,1072417,S,10.0,-7.0,-7.0,0.0,1.0,1.0
2017-01-25,1072419,M,52.0,-21.0,-20.0,1.0,1.0,2.0
2017-01-25,1072419,S,52.0,-16.0,-15.0,1.0,1.0,2.0
2017-01-25,1072420,M,52.0,0.0,-1.0,-1.0,2.0,1.0
2017-01-25,1072422,M,10.0,-47.0,-54.0,-7.0,8.0,1.0
2017-01-26,1070204,S,10.0,-52.0,-62.0,-10.0,11.0,1.0
2017-01-26,1070209,L,52.0,-37.0,-41.0,-4.0,5.0,1.0
2017-01-26,1071596,L,10.0,-23.0,-33.0,-10.0,12.0,2.0
2017-01-26,1071596,M,10.0,-22.0,-27.0,-5.0,7.0,2.0
2017-01-26,1071596,S,10.0,-9.0,-13.0,-4.0,6.0,2.0
2017-01-26,1071596,XL,10.0,-15.0,-26.0,-11.0,12.0,1.0
2017-01-26,1071596,XS,10.0,-10.0,-10.0,0.0,1.0,1.0
2017-01-26,1072416,XL,10.0,-34.0,-43.0,-9.0,11.0,2.0
2017-01-27,1070046,XL,10.0,-76.0,-81.0,-5.0,6.0,1.0
2017-01-27,1070047,L,1.0,-8.0,-11.0,-3.0,4.0,1.0
2017-01-27,1070047,M,1.0,-10.0,-12.0,-2.0,3.0,1.0
2017-01-27,1070047,S,1.0,-9.0,-12.0,-3.0,4.0,1.0
2017-01-27,1070047,XL,1.0,-2.0,-3.0,-1.0,2.0,1.0
2017-01-27,1070047,XXL,1.0,-5.0,-5.0,0.0,1.0,1.0
2017-01-27,1070073,L,52.0,217.0,220.0,3.0,-1.0,2.0
2017-01-27,1070073,XL,52.0,173.0,173.0,0.0,2.0,2.0
2017-01-27,1070073,XXL,52.0,76.0,74.0,-2.0,3.0,1.0
2017-01-27,1070076,M,53.0,100.0,101.0,1.0,0.0,1.0
2017-01-27,1070076,XL,53.0,121.0,119.0,-2.0,1.0,-1.0
2017-01-27,1070079,S,51.0,173.0,173.0,0.0,1.0,1.0
2017-01-27,1070157,L,52.0,219.0,220.0,1.0,1.0,2.0
2017-01-27,1070157,M,52.0,134.0,134.0,0.0,1.0,1.0
2017-01-27,1070157,S,52.0,96.0,96.0,0.0,1.0,1.0
2017-01-27,1070157,XL,52.0,195.0,196.0,1.0,1.0,2.0
2017-01-27,1071304,L,10.0,-2.0,-8.0,-6.0,5.0,-1.0
2017-01-27,1071304,M,10.0,-4.0,-17.0,-13.0,14.0,1.0
2017-01-27,1071594,XL,52.0,-153.0,-171.0,-18.0,19.0,1.0
2017-01-27,1072505,S,4.0,-13.0,-29.0,-16.0,15.0,-1.0
2017-01-27,1072736,L,52.0,0.0,-6.0,-6.0,5.0,-1.0
2017-01-27,1072736,M,52.0,-1.0,-7.0,-6.0,4.0,-2.0
2017-01-27,1072736,S,52.0,-1.0,-4.0,-3.0,2.0,-1.0
2017-01-27,1072736,XL,52.0,0.0,-4.0,-4.0,3.0,-1.0
2017-01-27,1072736,XXL,52.0,0.0,-4.0,-4.0,3.0,-1.0
2017-01-28,1070043,L,52.0,158.0,155.0,-3.0,4.0,1.0
2017-01-28,1070077,XXXL,52.0,-3.0,-4.0,-1.0,2.0,1.0
2017-01-29,1070046,L,10.0,-95.0,-100.0,-5.0,4.0,-1.0
2017-01-29,1070046,S,10.0,-56.0,-59.0,-3.0,4.0,1.0
2017-01-29,1070154,L,52.0,318.0,318.0,0.0,1.0,1.0
2017-01-29,1070154,M,52.0,219.0,217.0,-2.0,1.0,-1.0
2017-01-29,1070157,XL,52.0,185.0,183.0,-2.0,1.0,-1.0
2017-01-29,1070211,S,10.0,236.0,233.0,-3.0,2.0,-1.0
2017-01-29,1071169,L,13.0,-173.0,-175.0,-2.0,3.0,1.0
2017-01-29,1071304,XL,10.0,-14.0,-17.0,-3.0,2.0,-1.0
2017-01-29,1071579,S,10.0,-24.0,-27.0,-3.0,2.0,-1.0
2017-01-29,1072416,L,10.0,-104.0,-104.0,0.0,1.0,1.0
2017-01-29,1072416,S,10.0,-105.0,-107.0,-2.0,1.0,-1.0
2017-01-29,1072435,L,10.0,-9.0,-9.0,0.0,1.0,1.0
2017-01-30,1069409,L,15.0,50.0,50.0,0.0,-1.0,-1.0
2017-01-30,1070043,XS,52.0,115.0,112.0,-3.0,1.0,-2.0
2017-01-30,1070074,M,2.0,215.0,214.0,-1.0,0.0,-1.0
2017-01-30,1070074,XL,2.0,314.0,316.0,2.0,0.0,2.0
2017-01-30,1070077,M,52.0,-17.0,-17.0,0.0,-1.0,-1.0
2017-01-30,1070099,M,50.0,296.0,294.0,-2.0,3.0,1.0
2017-01-30,1070148,L,51.0,360.0,360.0,0.0,1.0,1.0
2017-01-30,1070148,XXL,51.0,318.0,317.0,-1.0,2.0,1.0
2017-01-30,1070201,M,52.0,133.0,130.0,-3.0,2.0,-1.0
2017-01-30,1070206,L,34.0,-50.0,-51.0,-1.0,2.0,1.0
2017-01-30,1070207,L,2.0,-11.0,-15.0,-4.0,3.0,-1.0
2017-01-30,1070216,M,10.0,342.0,340.0,-2.0,3.0,1.0
2017-01-30,1071115,XXL,13.0,-55.0,-55.0,0.0,1.0,1.0
2017-01-30,1071121,M,54.0,-133.0,-137.0,-4.0,5.0,1.0
2017-01-30,1071121,XS,54.0,-67.0,-69.0,-2.0,1.0,-1.0
2017-01-30,1071304,M,10.0,-33.0,-34.0,-1.0,2.0,1.0
2017-01-30,1071579,XL,10.0,-19.0,-21.0,-2.0,1.0,-1.0
2017-01-30,1071594,M,52.0,-367.0,-370.0,-3.0,2.0,-1.0
2017-01-30,1072205,S,10.0,27.0,27.0,0.0,1.0,1.0
2017-01-30,1072416,M,10.0,-152.0,-157.0,-5.0,6.0,1.0
2017-01-30,1072736,L,52.0,-11.0,-12.0,-1.0,3.0,2.0
2017-01-30,1072736,M,52.0,-15.0,-14.0,1.0,1.0,2.0
2017-01-30,1072736,S,52.0,-10.0,-12.0,-2.0,3.0,1.0
2017-01-30,1072736,XL,52.0,-7.0,-8.0,-1.0,2.0,1.0
2017-01-30,1072736,XXL,52.0,-9.0,-9.0,0.0,1.0,1.0
2017-01-31,1070105,L,14.0,-7.0,-7.0,0.0,1.0,1.0
2017-01-31,1070199,S,51.0,148.0,146.0,-2.0,3.0,1.0
2017-01-31,1071169,XS,13.0,-98.0,-102.0,-4.0,5.0,1.0
2017-01-31,1071596,XL,10.0,-51.0,-57.0,-6.0,7.0,1.0
2017-02-01,1070148,XL,51.0,416.0,415.0,-1.0,2.0,1.0
2017-02-01,1070201,S,52.0,80.0,76.0,-4.0,5.0,1.0
2017-02-01,1070201,XS,52.0,106.0,104.0,-2.0,3.0,1.0
2017-02-01,1072204,L,52.0,168.0,164.0,-4.0,5.0,1.0
2017-02-01,1072204,M,52.0,212.0,206.0,-6.0,7.0,1.0
2017-02-01,1072204,S,52.0,149.0,146.0,-3.0,4.0,1.0
2017-02-01,1072204,XL,52.0,143.0,136.0,-7.0,8.0,1.0
2017-02-01,1072422,M,10.0,-80.0,-86.0,-6.0,7.0,1.0
2017-02-01,1072505,S,4.0,-40.0,-54.0,-14.0,15.0,1.0
2017-02-01,1072603,L,15.0,0.0,-9.0,-9.0,6.0,-3.0
2017-02-02,1070082,M,1.0,381.0,376.0,-5.0,6.0,1.0
2017-02-02,1070147,L,52.0,196.0,197.0,1.0,1.0,2.0
2017-02-02,1070215,S,10.0,200.0,202.0,2.0,-1.0,1.0
2017-02-02,1070216,S,10.0,211.0,210.0,-1.0,2.0,1.0
2017-02-02,1070537,M,83.0,-38.0,-39.0,-1.0,2.0,1.0
2017-02-02,1071169,XS,13.0,-112.0,-117.0,-5.0,4.0,-1.0
2017-02-02,1072205,M,10.0,58.0,58.0,0.0,1.0,1.0
2017-02-02,1072422,XL,10.0,-42.0,-45.0,-3.0,4.0,1.0
2017-02-03,1070043,M,52.0,228.0,223.0,-5.0,6.0,1.0
2017-02-03,1070044,M,14.0,122.0,116.0,-6.0,7.0,1.0
2017-02-03,1070195,M,14.0,294.0,294.0,0.0,2.0,2.0
2017-02-03,1070199,M,51.0,200.0,198.0,-2.0,4.0,2.0
2017-02-03,1070201,M,52.0,117.0,115.0,-2.0,4.0,2.0
2017-02-03,1070201,S,52.0,77.0,71.0,-6.0,7.0,1.0
2017-02-03,1070201,XS,52.0,103.0,104.0,1.0,0.0,1.0
2017-02-03,1070204,S,10.0,-124.0,-134.0,-10.0,11.0,1.0
2017-02-03,1070211,M,10.0,363.0,361.0,-2.0,3.0,1.0
2017-02-03,1070211,S,10.0,227.0,225.0,-2.0,3.0,1.0
2017-02-03,1070212,M,10.0,252.0,249.0,-3.0,4.0,1.0
2017-02-03,1070212,S,10.0,156.0,151.0,-5.0,6.0,1.0
2017-02-03,1070967,M,10.0,170.0,167.0,-3.0,4.0,1.0
2017-02-03,1071125,S,54.0,-24.0,-25.0,-1.0,2.0,1.0
2017-02-03,1071169,S,13.0,-173.0,-183.0,-10.0,11.0,1.0
2017-02-03,1071578,M,52.0,-52.0,-59.0,-7.0,9.0,2.0
2017-02-03,1071578,S,52.0,-40.0,-47.0,-7.0,9.0,2.0
2017-02-03,1071579,M,10.0,-59.0,-65.0,-6.0,7.0,1.0
2017-02-03,1071579,S,10.0,-45.0,-54.0,-9.0,11.0,2.0
2017-02-03,1071675,M,4.0,250.0,246.0,-4.0,5.0,1.0
2017-02-03,1072204,M,52.0,202.0,195.0,-7.0,8.0,1.0
2017-02-03,1072205,M,10.0,58.0,55.0,-3.0,4.0,1.0
2017-02-03,1072418,M,10.0,-37.0,-39.0,-2.0,4.0,2.0
2017-02-03,1072418,S,10.0,-25.0,-26.0,-1.0,2.0,1.0
2017-02-04,1070539,XL,13.0,-59.0,-61.0,-2.0,3.0,1.0
2017-02-04,1072204,M,52.0,195.0,183.0,-12.0,13.0,1.0
2017-02-05,1070199,L,51.0,135.0,133.0,-2.0,1.0,-1.0
2017-02-05,1070206,L,34.0,-93.0,-94.0,-1.0,2.0,1.0
2017-02-05,1071166,L,52.0,-249.0,-251.0,-2.0,3.0,1.0
2017-02-05,1071166,S,52.0,-207.0,-211.0,-4.0,3.0,-1.0
2017-02-05,1071304,M,10.0,-83.0,-83.0,0.0,1.0,1.0
2017-02-05,1072048,M,4.0,-290.0,-293.0,-3.0,2.0,-1.0
2017-02-06,1070044,S,14.0,106.0,104.0,-2.0,3.0,1.0
2017-02-06,1070077,S,52.0,-17.0,-17.0,0.0,1.0,1.0
2017-02-06,1070147,M,52.0,112.0,112.0,0.0,1.0,1.0
2017-02-06,1070204,S,10.0,-144.0,-145.0,-1.0,0.0,-1.0
2017-02-06,1070303,L,10.0,-46.0,-48.0,-2.0,4.0,2.0
2017-02-06,1070303,M,10.0,-68.0,-75.0,-7.0,6.0,-1.0
2017-02-06,1070539,S,13.0,-76.0,-76.0,0.0,1.0,1.0
2017-02-06,1070548,XL,10.0,-76.0,-79.0,-3.0,4.0,1.0
2017-02-06,1071168,L,10.0,-176.0,-178.0,-2.0,3.0,1.0
2017-02-06,1071168,XL,10.0,-131.0,-137.0,-6.0,5.0,-1.0
2017-02-06,1071250,XL,52.0,-4.0,-4.0,0.0,1.0,1.0
2017-02-06,1071578,S,52.0,-59.0,-124.0,-65.0,29.0,-36.0
2017-02-06,1072435,L,10.0,-26.0,-28.0,-2.0,1.0,-1.0
2017-02-06,1072582,L,51.0,-11.0,-17.0,-6.0,3.0,-3.0
2017-02-06,1072582,M,51.0,-7.0,-14.0,-7.0,1.0,-6.0
2017-02-06,1072603,L,15.0,-47.0,-49.0,-2.0,3.0,1.0
2017-02-06,1072605,M,52.0,-20.0,-22.0,-2.0,1.0,-1.0
2017-02-06,1072662,L,10.0,-10.0,-10.0,0.0,1.0,1.0
2017-02-06,1072662,S,10.0,-6.0,-6.0,0.0,1.0,1.0
2017-02-06,1072662,XL,10.0,-10.0,-11.0,-1.0,2.0,1.0
2017-02-06,1072662,XXL,10.0,-4.0,-5.0,-1.0,2.0,1.0
2017-02-07,1070077,M,52.0,-26.0,-28.0,-2.0,1.0,-1.0
2017-02-07,1070149,XXL,99.0,-22.0,-20.0,2.0,-1.0,1.0
2017-02-07,1070162,XL,51.0,-44.0,-45.0,-1.0,2.0,1.0
2017-02-07,1070538,M,13.0,-55.0,-47.0,8.0,1.0,9.0
2017-02-07,1070539,M,13.0,-127.0,-130.0,-3.0,2.0,-1.0
2017-02-07,1071169,S,13.0,-203.0,-207.0,-4.0,3.0,-1.0
2017-02-08,1070046,XL,10.0,-126.0,-126.0,0.0,1.0,1.0
2017-02-08,1070071,L,16.0,-85.0,-86.0,-1.0,2.0,1.0
2017-02-08,1070074,XXL,2.0,181.0,179.0,-2.0,1.0,-1.0
2017-02-08,1070146,XL,33.0,-64.0,-65.0,-1.0,2.0,1.0
2017-02-08,1070199,M,51.0,185.0,184.0,-1.0,2.0,1.0
2017-02-08,1070202,L,52.0,-154.0,-154.0,0.0,1.0,1.0
2017-02-08,1070204,M,10.0,-283.0,-288.0,-5.0,6.0,1.0
2017-02-08,1070204,S,10.0,-148.0,-150.0,-2.0,3.0,1.0
2017-02-08,1070204,XL,10.0,-156.0,-156.0,0.0,1.0,1.0
2017-02-08,1070205,L,13.0,-71.0,-71.0,0.0,1.0,1.0
2017-02-08,1070211,L,10.0,159.0,160.0,1.0,0.0,1.0
2017-02-08,1070216,L,10.0,150.0,148.0,-2.0,3.0,1.0
2017-02-08,1070216,M,10.0,313.0,314.0,1.0,0.0,1.0
2017-02-08,1070216,S,10.0,206.0,204.0,-2.0,3.0,1.0
2017-02-08,1070539,M,13.0,-130.0,-138.0,-8.0,9.0,1.0
2017-02-08,1070882,M,10.0,290.0,286.0,-4.0,6.0,2.0
2017-02-08,1071021,XS,54.0,0.0,-2.0,-2.0,1.0,-1.0
2017-02-08,1071121,M,54.0,-176.0,-179.0,-3.0,4.0,1.0
2017-02-08,1071169,M,13.0,-367.0,-368.0,-1.0,2.0,1.0
2017-02-08,1071246,M,51.0,-169.0,-179.0,-10.0,11.0,1.0
2017-02-08,1071270,XL,34.0,-27.0,-31.0,-4.0,5.0,1.0
2017-02-08,1071578,S,52.0,-157.0,-201.0,-44.0,45.0,1.0
2017-02-08,1071579,S,10.0,-112.0,-137.0,-25.0,26.0,1.0
2017-02-08,1072417,XL,10.0,-26.0,-27.0,-1.0,0.0,-1.0
2017-02-08,1072418,M,10.0,-51.0,-53.0,-2.0,3.0,1.0
2017-02-08,1072819,S,52.0,-2.0,-10.0,-8.0,9.0,1.0
2017-02-09,1070043,XS,52.0,98.0,99.0,1.0,0.0,1.0
2017-02-09,1070046,M,10.0,-143.0,-146.0,-3.0,4.0,1.0
2017-02-09,1070071,S,16.0,-57.0,-57.0,0.0,1.0,1.0
2017-02-09,1070539,M,13.0,-138.0,-142.0,-4.0,5.0,1.0
2017-02-09,1070539,XL,13.0,-73.0,-70.0,3.0,-2.0,1.0
2017-02-09,1070542,XL,13.0,98.0,98.0,0.0,1.0,1.0
2017-02-09,1070545,L,13.0,-14.0,-11.0,3.0,-2.0,1.0
2017-02-09,1070547,L,13.0,-204.0,-208.0,-4.0,5.0,1.0
